Country,University,Rank,Teaching,Research,Citations,Students,International Students (%),Year
United States of America,Harvard University,1,99.7,98.7,98.8,20152,25,2011
United States of America,California Institute of Technology,2,97.7,98,99.9,2243,27,2011
United States of America,Massachusetts Institute of Technology,3,97.8,91.4,99.9,11074,33,2011
United States of America,Stanford University,4,98.3,98.1,99.2,15596,22,2011
United States of America,Princeton University,5,90.9,95.4,99.9,7929,27,2011
United Kingdom,University of Cambridge,6,90.5,94.1,94,18812,34,2011
United Kingdom,University of Oxford,6,88.2,93.9,95.1,19919,34,2011
United States of America,University of California Berkeley,8,84.2,99.3,97.8,36186,15,2011
United Kingdom,Imperial College London,9,89.2,94.5,88.3,15060,51,2011
United States of America,Yale University,10,92.1,89.7,91.5,11751,20,2011
United States of America,University of California Los Angeles,11,83,92.9,93.2,38206,15,2011
United States of America,University of Chicago,12,79.1,87.9,96.9,14221,21,2011
United States of America,Johns Hopkins University,13,80.9,89.2,92.3,15128,23,2011
United States of America,Cornell University,14,82.2,88.8,88.1,21424,19,2011
Switzerland,ETH Zurich – Swiss Federal Institute of Technology Zurich,15,77.5,87.8,83.1,18178,37,2011
United States of America,University of Michigan,15,83.9,89.1,84.1,41786,16,2011
Canada,University of Toronto,17,75.8,87.9,82.2,66198,15,2011
United States of America,Columbia University,18,73.8,73.8,92.6,25055,28,2011
United States of America,University of Pennsylvania,19,71.8,82.7,93.6,20376,20,2011
United States of America,Carnegie Mellon University,20,70.3,79.3,95.7,11885,35,2011
Hong Kong,University of Hong Kong,21,68.4,71.4,96.1,19835,38,2011
United Kingdom,University College London,22,74,81.6,80.6,26607,46,2011
United States of America,University of Washington,23,68.2,77.1,95.9,44020,13,2011
United States of America,Duke University,24,66.8,71.5,92.3,15172,17,2011
United States of America,Northwestern University,25,64.5,68.8,95.3,18334,15,2011
Japan,University of Tokyo,26,87.7,91.9,58.1,26199,10,2011
United States of America,Georgia Institute of Technology,27,67.9,72.6,83.2,19967,26,2011
South Korea,Pohang University of Science and Technology,28,69.5,62.5,96.5,3055,4,2011
United States of America,University of California Santa Barbara,29,56.6,68,98.8,22020,11,2011
Canada,University of British Columbia,30,65.1,74.8,80.3,50152,25,2011
United States of America,University of North Carolina at Chapel Hill,30,70.9,75.1,85,26518,8,2011
United States of America,University of California San Diego,32,59.8,76.3,90.8,27233,11,2011
United States of America,University of Illinois at Urbana-Champaign,33,68.1,80.9,72.9,42727,20,2011
Singapore,National University of Singapore,34,65.5,72.6,78.7,31592,34,2011
Canada,McGill University,35,69,74.9,69,31326,23,2011
Australia,University of Melbourne,36,58.7,69.2,83.3,40128,35,2011
China,Peking University,37,76.4,61.3,72.2,40148,14,2011
United States of America,Washington University in St Louis,38,58.9,63,88.6,12528,17,2011
France,École Polytechnique,39,57.9,56.1,91.4,2429,30,2011
United Kingdom,University of Edinburgh,40,59.9,61.9,86.8,25774,36,2011
Hong Kong,Hong Kong University of Science and Technology,41,50.4,51.8,98.2,11385,36,2011
France,École Normale Supérieure,42,66.8,48.2,95.7,2400,20,2011
Australia,Australian National University,43,51.9,62.4,81,14604,35,2011
Sweden,Karolinska Institute,43,65.8,72.7,62.3,7774,22,2011
Germany,University of Göttingen,43,57.3,55.9,92.5,25581,12,2011
United States of America,University of Wisconsin,43,55.5,64.6,83.4,0,0,2011
United States of America,Rice University,47,57.4,50.6,99.1,6333,26,2011
Switzerland,École Polytechnique Fédérale de Lausanne,48,55,56.1,83.8,9666,54,2011
United States of America,University of California Irvine,49,49.4,54.7,91.6,26614,16,2011
China,University of Science and Technology of China,49,57.5,48.6,92.7,14290,2,2011
United States of America,Vanderbilt University,51,64.9,59.5,78.1,12161,10,2011
United States of America,University of Minnesota,52,57.6,69.1,76.4,46825,13,2011
United States of America,Tufts University,53,64.1,52.3,83.9,10410,14,2011
United States of America,University of California Davis,54,57.3,70.7,68.8,35364,13,2011
United States of America,Brown University,55,59.7,57,77.7,8653,19,2011
United States of America,University of Massachusetts,56,61.3,72.6,67.9,56959,11,2011
Japan,Kyoto University,57,78.9,77.7,46.3,22809,7,2011
China,Tsinghua University,58,74.9,66.6,52.7,39763,10,2011
United States of America,Boston University,59,53.6,51.9,91.4,24789,17,2011
United States of America,New York University,60,62,50.7,82.9,42056,19,2011
United States of America,Emory University,61,63.4,48.4,77.8,12338,18,2011
Germany,LMU Munich,61,59.1,57.5,76.4,35691,13,2011
United States of America,University of Notre Dame,63,56.4,45.1,89.1,11829,10,2011
United States of America,University of Pittsburgh,64,58.5,58.3,78.3,26485,10,2011
United States of America,Case Western Reserve University,65,67.2,53.8,66,9259,17,2011
United States of America,Ohio State University,66,63.5,54.9,67.2,51462,12,2011
United States of America,University of Colorado Boulder,67,46.4,58.1,83.4,29325,8,2011
United Kingdom,University of Bristol,68,49.6,53.1,80.9,17906,25,2011
United States of America,University of California Santa Cruz,68,38.3,50.4,99.6,17404,1,2011
United States of America,Yeshiva University,68,63.5,46.7,74.4,6753,7,2011
Australia,University of Sydney,71,49.8,61.9,64.3,41868,28,2011
United States of America,University of Virginia,72,62,55.4,68.6,23845,12,2011
Australia,University of Adelaide,73,46.5,38.8,90.5,20771,26,2011
United States of America,University of Southern California,73,65.4,48.7,71.9,36534,20,2011
United States of America,William & Mary,75,53.1,36.1,95.6,7867,7,2011
